0,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,
1,1679274765312,1,5837.354133,0.499971,3.141684,0.0001,129.5868350606
2,Value,Occurrences,Fraction,,,,
3,0,839686886498,0.500029,,,,
3,1,839587878814,0.499971,,,,
