0,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,
1,274877906944,1,1.962879,0.499999,3.14161,1.901695349E-06,0.9970360511
2,Value,Occurrences,Fraction,,,,
3,0,137439320743,0.500001,,,,
3,1,137438586201,0.499999,,,,
