0,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,
1,12600000000,1,0.73335,0.500004,3.141569,9.392322751E-06,1.054285614
2,Value,Occurrences,Fraction,,,,
3,0,6299951937,0.499996,,,,
3,1,6300048063,0.500004,,,,
