0,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,
1,274877906944,1,857.371496,0.499972,3.141672,9.9176783673E-05,51.9971978139
2,Value,Occurrences,Fraction,,,,
3,0,137446629286,0.500028,,,,
3,1,137431277658,0.499972,,,,
