0,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,
1,16800000000,1,103.558145,0.499961,3.141673,8.4322645868E-05,10.9294640957
2,Value,Occurrences,Fraction,,,,
3,0,8400659503,0.500039,,,,
3,1,8399340497,0.499961,,,,
