0,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,
1,16800000000,1,140.012569,0.499954,3.141785,8.7325238075E-05,11.3186445303
2,Value,Occurrences,Fraction,,,,
3,0,8400766846,0.500046,,,,
3,1,8399233154,0.499954,,,,
