0,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,
1,12600000000,1,0.362765,0.499997,3.141623,-1.0639393871E-05,1.194269
2,Value,Occurrences,Fraction,,,,
3,0,6300033804,0.500003,,,,
3,1,6299966196,0.499997,,,,
