0,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,
1,12600000000,1,0.936029,0.499996,3.141524,0.000006399,0.718282975
2,Value,Occurrences,Fraction,,,,
3,0,6300054300,0.500004,,,,
3,1,6299945700,0.499996,,,,
