0,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,
1,137438953472,1,0.51117,0.499999,3.141566,2.025710192E-06,0.750986678
2,Value,Occurrences,Fraction,,,,
3,0,68719609264,0.500001,,,,
3,1,68719344208,0.499999,,,,
