0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,
3,158,6155394,0.003908,,,,
3,159,6157365,0.003909,,,,
3,160,6152709,0.003906,,,,
3,161,6152352,0.003906,,,,
3,162,6155239,0.003908,,,,
3,163,6150193,0.003905,,,,
3,164,6153627,0.003907,,,,
3,165,6155455,0.003908,,,,
3,166,6155682,0.003908,,,,
3,167,6150945,0.003905,,,,
3,168,6150090,0.003905,,,,
3,169,6151000,0.003905,,,,
3,170,6150069,0.003905,,,,
3,171,6153622,0.003907,,,,
3,172,6153791,0.003907,,,,
3,173,6154214,0.003907,,,,
3,174,6150475,0.003905,,,,
3,175,6150704,0.003905,,,,
3,176,6149844,0.003905,,,,
3,177,6152578,0.003906,,,,
3,178,6152103,0.003906,,,,
3,179,6155085,0.003908,,,,
3,180,6154259,0.003907,,,,
3,181,6151931,0.003906,,,,
3,182,6149804,0.003905,,,,
3,183,6151266,0.003906,,,,
3,184,6151706,0.003906,,,,
3,185,6154033,0.003907,,,,
3,186,6156288,0.003909,,,,
3,187,6150009,0.003905,,,,
3,188,6153687,0.003907,,,,
3,189,6149947,0.003905,,,,
3,190,6157737,0.00391,,,,
3,191,6149683,0.003905,,,,
3,192,6150070,0.003905,,,,
3,193,6155819,0.003908,,,,
3,194,6151184,0.003906,,,,
3,195,6152485,0.003906,,,,
3,196,6154346,0.003908,,,,
3,197,6152512,0.003906,,,,
3,198,6148520,0.003904,,,,
3,199,6154284,0.003907,,,,
3,200,6151288,0.003906,,,,
3,201,6155488,0.003908,,,,
3,202,6150035,0.003905,,,,
3,203,6153781,0.003907,,,,
3,204,6150624,0.003905,,,,
3,205,6155247,0.003908,,,,
3,206,6147278,0.003903,,,,
3,207,6150076,0.003905,,,,
3,208,6152951,0.003907,,,,
3,209,6156216,0.003909,,,,
3,210,6149352,0.003904,,,,
3,211,6155966,0.003909,,,,
3,212,6152684,0.003906,,,,
3,213,6155393,0.003908,,,,
3,214,6152481,0.003906,,,,
3,215,6156920,0.003909,,,,
3,216,6150458,0.003905,,,,
3,217,6152683,0.003906,,,,
3,218,6151813,0.003906,,,,
3,219,6153129,0.003907,,,,
3,220,6150386,0.003905,,,,
3,221,6151813,0.003906,,,,
3,222,6150604,0.003905,,,,
3,223,6153644,0.003907,,,,
3,224,6153245,0.003907,,,,
3,225,6153112,0.003907,,,,
3,226,6151958,0.003906,,,,
3,227,6151912,0.003906,,,,
3,228,6152298,0.003906,,,,
3,229,6151399,0.003906,,,,
3,230,6152304,0.003906,,,,
3,231,6152152,0.003906,,,,
3,232,6156269,0.003909,,,,
3,233,6149138,0.003904,,,,
3,234,6152944,0.003907,,,,
3,235,6147815,0.003903,,,,
3,236,6146414,0.003902,,,,
3,237,6148716,0.003904,,,,
3,238,6150315,0.003905,,,,
3,239,6156464,0.003909,,,,
3,240,6152088,0.003906,,,,
3,241,6148517,0.003904,,,,
3,242,6151024,0.003905,,,,
3,243,6151743,0.003906,,,,
3,244,6154201,0.003907,,,,
3,245,6156410,0.003909,,,,
3,246,6152511,0.003906,,,,
3,247,6153796,0.003907,,,,
3,248,6151848,0.003906,,,,
3,249,6155760,0.003908,,,,
3,250,6152617,0.003906,,,,
3,251,6157255,0.003909,,,,
3,252,6149764,0.003905,,,,
3,253,6158386,0.00391,,,,
3,254,6150929,0.003905,,,,
3,255,6153178,0.003907,,,,
