0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
3,168,819776361,0.003905,,,
3,169,819474733,0.003904,,,
3,170,819235217,0.003903,,,
3,171,819385099,0.003904,,,
3,172,819697331,0.003905,,,
3,173,819417972,0.003904,,,
3,174,819571281,0.003904,,,
3,175,819635818,0.003905,,,
3,176,820145287,0.003907,,,
3,177,819885093,0.003906,,,
3,178,819627793,0.003905,,,
3,179,819779881,0.003905,,,
3,180,819657358,0.003905,,,
3,181,819377242,0.003903,,,
3,182,819573230,0.003904,,,
3,183,819649507,0.003905,,,
3,184,820016048,0.003907,,,
3,185,819782354,0.003905,,,
3,186,819554427,0.003904,,,
3,187,819632691,0.003905,,,
3,188,819952089,0.003906,,,
3,189,819683890,0.003905,,,
3,190,819904489,0.003906,,,
3,191,819931889,0.003906,,,
3,192,820611375,0.003909,,,
3,193,820354438,0.003908,,,
3,194,820143749,0.003907,,,
3,195,820177766,0.003907,,,
3,196,820175970,0.003907,,,
3,197,819806740,0.003906,,,
3,198,820048370,0.003907,,,
3,199,820132496,0.003907,,,
3,200,820145572,0.003907,,,
3,201,819885010,0.003906,,,
3,202,819677180,0.003905,,,
3,203,819822132,0.003906,,,
3,204,820069005,0.003907,,,
3,205,819831651,0.003906,,,
3,206,819963733,0.003906,,,
3,207,820075227,0.003907,,,
3,208,820194025,0.003907,,,
3,209,819851481,0.003906,,,
3,210,819707830,0.003905,,,
3,211,819806181,0.003906,,,
3,212,819634998,0.003905,,,
3,213,819371191,0.003903,,,
3,214,819623707,0.003905,,,
3,215,819644880,0.003905,,,
3,216,820050596,0.003907,,,
3,217,819782227,0.003905,,,
3,218,819593881,0.003905,,,
3,219,819686214,0.003905,,,
3,220,819948907,0.003906,,,
3,221,819718139,0.003905,,,
3,222,819872111,0.003906,,,
3,223,819941099,0.003906,,,
3,224,820517920,0.003909,,,
3,225,820238689,0.003908,,,
3,226,820041937,0.003907,,,
3,227,820127576,0.003907,,,
3,228,820083390,0.003907,,,
3,229,819754385,0.003905,,,
3,230,819958643,0.003906,,,
3,231,820061965,0.003907,,,
3,232,820050793,0.003907,,,
3,233,819731507,0.003905,,,
3,234,819569761,0.003904,,,
3,235,819702388,0.003905,,,
3,236,819947819,0.003906,,,
3,237,819649902,0.003905,,,
3,238,819848791,0.003906,,,
3,239,819941420,0.003906,,,
3,240,820410152,0.003908,,,
3,241,820135672,0.003907,,,
3,242,819947466,0.003906,,,
3,243,819991104,0.003906,,,
3,244,820027318,0.003907,,,
3,245,819645452,0.003905,,,
3,246,819861947,0.003906,,,
3,247,819932834,0.003906,,,
3,248,820277718,0.003908,,,
3,249,820059087,0.003907,,,
3,250,819834748,0.003906,,,
3,251,819954011,0.003906,,,
3,252,820180181,0.003907,,,
3,253,819954146,0.003906,,,
3,254,820094615,0.003907,,,
3,255,820183685,0.003907,,,
