0,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,
1,16800000000,1,141.80649,0.499954,3.141695,9.3605607547E-05,12.132673461
2,Value,Occurrences,Fraction,,,,
3,0,8400771743,0.500046,,,,
3,1,8399228257,0.499954,,,,
