0,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,
1,12600000000,1,0.00974,0.5,3.141521,7.374284941E-06,0.8277614316
2,Value,Occurrences,Fraction,,,,
3,0,6300005539,0.5,,,,
3,1,6299994461,0.5,,,,
