0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,
1,1575000000,8,241.694213,127.49625,3.141619,-2.3992919826E-05,0.952189486
2,Value,Occurrences,Fraction,,,,
3,0,6158228,0.00391,,,,
3,1,6152374,0.003906,,,,
3,2,6154310,0.003907,,,,
3,3,6149510,0.003904,,,,
3,4,6151970,0.003906,,,,
3,5,6149762,0.003905,,,,
3,6,6151631,0.003906,,,,
3,7,6150769,0.003905,,,,
3,8,6151293,0.003906,,,,
3,9,6153247,0.003907,,,,
3,10,6154247,0.003907,,,,
3,11,6158318,0.00391,,,,
3,12,6152380,0.003906,,,,
3,13,6151913,0.003906,,,,
3,14,6152383,0.003906,,,,
3,15,6146693,0.003903,,,,
3,16,6151948,0.003906,,,,
3,17,6155152,0.003908,,,,
3,18,6155901,0.003909,,,,
3,19,6150555,0.003905,,,,
3,20,6152277,0.003906,,,,
3,21,6150293,0.003905,,,,
3,22,6155675,0.003908,,,,
3,23,6148537,0.003904,,,,
3,24,6151664,0.003906,,,,
3,25,6157220,0.003909,,,,
3,26,6153711,0.003907,,,,
3,27,6153237,0.003907,,,,
3,28,6155351,0.003908,,,,
3,29,6157122,0.003909,,,,
3,30,6152912,0.003907,,,,
3,31,6154523,0.003908,,,,
3,32,6153748,0.003907,,,,
3,33,6153219,0.003907,,,,
3,34,6149228,0.003904,,,,
3,35,6152073,0.003906,,,,
3,36,6152839,0.003907,,,,
3,37,6156240,0.003909,,,,
3,38,6152844,0.003907,,,,
3,39,6156480,0.003909,,,,
3,40,6151072,0.003905,,,,
3,41,6149245,0.003904,,,,
3,42,6155281,0.003908,,,,
3,43,6151066,0.003905,,,,
3,44,6151323,0.003906,,,,
3,45,6155368,0.003908,,,,
3,46,6151597,0.003906,,,,
3,47,6153331,0.003907,,,,
3,48,6152426,0.003906,,,,
3,49,6151869,0.003906,,,,
3,50,6157268,0.003909,,,,
3,51,6150861,0.003905,,,,
3,52,6154440,0.003908,,,,
3,53,6147360,0.003903,,,,
3,54,6148985,0.003904,,,,
3,55,6157228,0.003909,,,,
3,56,6154715,0.003908,,,,
3,57,6153396,0.003907,,,,
3,58,6153800,0.003907,,,,
3,59,6147582,0.003903,,,,
3,60,6153147,0.003907,,,,
3,61,6150310,0.003905,,,,
3,62,6147383,0.003903,,,,
3,63,6151601,0.003906,,,,
3,64,6152124,0.003906,,,,
3,65,6151168,0.003906,,,,
3,66,6153350,0.003907,,,,
3,67,6152168,0.003906,,,,
3,68,6154587,0.003908,,,,
3,69,6151841,0.003906,,,,
3,70,6153968,0.003907,,,,
3,71,6150860,0.003905,,,,
3,72,6153516,0.003907,,,,
3,73,6157961,0.00391,,,,
3,74,6152704,0.003906,,,,
3,75,6155250,0.003908,,,,
3,76,6151816,0.003906,,,,
3,77,6154905,0.003908,,,,
3,78,6152817,0.003907,,,,
3,79,6156390,0.003909,,,,
3,80,6155617,0.003908,,,,
3,81,6153715,0.003907,,,,
3,82,6151231,0.003906,,,,
3,83,6147664,0.003903,,,,
3,84,6153483,0.003907,,,,
3,85,6152762,0.003907,,,,
3,86,6152501,0.003906,,,,
3,87,6152304,0.003906,,,,
3,88,6150684,0.003905,,,,
3,89,6151379,0.003906,,,,
3,90,6153165,0.003907,,,,
3,91,6152245,0.003906,,,,
3,92,6150830,0.003905,,,,
3,93,6154065,0.003907,,,,
3,94,6154647,0.003908,,,,
3,95,6155248,0.003908,,,,
3,96,6154423,0.003908,,,,
3,97,6150345,0.003905,,,,
3,98,6148678,0.003904,,,,
3,99,6156073,0.003909,,,,
3,100,6151676,0.003906,,,,
3,101,6156932,0.003909,,,,
3,102,6152770,0.003907,,,,
3,103,6145927,0.003902,,,,
3,104,6155110,0.003908,,,,
3,105,6150828,0.003905,,,,
3,106,6151922,0.003906,,,,
3,107,6153654,0.003907,,,,
3,108,6150514,0.003905,,,,
3,109,6150360,0.003905,,,,
3,110,6148645,0.003904,,,,
3,111,6153715,0.003907,,,,
3,112,6152471,0.003906,,,,
3,113,6147091,0.003903,,,,
3,114,6154188,0.003907,,,,
3,115,6152214,0.003906,,,,
3,116,6153211,0.003907,,,,
3,117,6148332,0.003904,,,,
3,118,6154801,0.003908,,,,
3,119,6153201,0.003907,,,,
3,120,6153676,0.003907,,,,
3,121,6153482,0.003907,,,,
3,122,6150109,0.003905,,,,
3,123,6153671,0.003907,,,,
3,124,6150014,0.003905,,,,
3,125,6152976,0.003907,,,,
3,126,6152236,0.003906,,,,
3,127,6151221,0.003906,,,,
3,128,6149729,0.003905,,,,
3,129,6151469,0.003906,,,,
3,130,6151288,0.003906,,,,
3,131,6152751,0.003907,,,,
3,132,6149611,0.003905,,,,
3,133,6155769,0.003908,,,,
3,134,6149978,0.003905,,,,
3,135,6148833,0.003904,,,,
3,136,6151208,0.003906,,,,
3,137,6149933,0.003905,,,,
3,138,6152368,0.003906,,,,
3,139,6146438,0.003903,,,,
3,140,6152839,0.003907,,,,
3,141,6154879,0.003908,,,,
3,142,6151057,0.003905,,,,
3,143,6153232,0.003907,,,,
3,144,6152342,0.003906,,,,
3,145,6151773,0.003906,,,,
3,146,6153736,0.003907,,,,
3,147,6155568,0.003908,,,,
3,148,6148170,0.003904,,,,
3,149,6153112,0.003907,,,,
3,150,6150422,0.003905,,,,
3,151,6151344,0.003906,,,,
3,152,6158177,0.00391,,,,
3,153,6153871,0.003907,,,,
3,154,6151559,0.003906,,,,
3,155,6151740,0.003906,,,,
3,156,6156236,0.003909,,,,
3,157,6150952,0.003905,,,,
3,158,6152676,0.003906,,,,
3,159,6155248,0.003908,,,,
3,160,6154841,0.003908,,,,
3,161,6153395,0.003907,,,,
3,162,6151441,0.003906,,,,
3,163,6150627,0.003905,,,,
3,164,6152474,0.003906,,,,
3,165,6152549,0.003906,,,,
3,166,6152419,0.003906,,,,
3,167,6155084,0.003908,,,,
3,168,6152100,0.003906,,,,
3,169,6151981,0.003906,,,,
3,170,6153095,0.003907,,,,
3,171,6156872,0.003909,,,,
3,172,6154890,0.003908,,,,
3,173,6156182,0.003909,,,,
3,174,6154166,0.003907,,,,
3,175,6150378,0.003905,,,,
3,176,6149399,0.003904,,,,
3,177,6153800,0.003907,,,,
3,178,6154407,0.003908,,,,
3,179,6152228,0.003906,,,,
3,180,6152813,0.003907,,,,
3,181,6152385,0.003906,,,,
3,182,6149759,0.003905,,,,
3,183,6155460,0.003908,,,,
3,184,6149870,0.003905,,,,
3,185,6150868,0.003905,,,,
3,186,6149773,0.003905,,,,
3,187,6151363,0.003906,,,,
3,188,6151109,0.003905,,,,
3,189,6152740,0.003907,,,,
3,190,6150886,0.003905,,,,
3,191,6151127,0.003905,,,,
3,192,6148301,0.003904,,,,
3,193,6153077,0.003907,,,,
3,194,6152398,0.003906,,,,
3,195,6152242,0.003906,,,,
3,196,6148939,0.003904,,,,
3,197,6150994,0.003905,,,,
3,198,6151209,0.003906,,,,
3,199,6151781,0.003906,,,,
3,200,6147231,0.003903,,,,
3,201,6151238,0.003906,,,,
3,202,6154954,0.003908,,,,
3,203,6152958,0.003907,,,,
3,204,6154348,0.003908,,,,
3,205,6151819,0.003906,,,,
3,206,6152588,0.003906,,,,
3,207,6149903,0.003905,,,,
3,208,6149687,0.003905,,,,
3,209,6150097,0.003905,,,,
3,210,6152938,0.003907,,,,
3,211,6152345,0.003906,,,,
3,212,6153398,0.003907,,,,
3,213,6147738,0.003903,,,,
3,214,6151995,0.003906,,,,
3,215,6151696,0.003906,,,,
3,216,6152561,0.003906,,,,
3,217,6156549,0.003909,,,,
3,218,6147291,0.003903,,,,
3,219,6148902,0.003904,,,,
3,220,6149763,0.003905,,,,
3,221,6150988,0.003905,,,,
3,222,6151746,0.003906,,,,
3,223,6157240,0.003909,,,,
3,224,6146046,0.003902,,,,
3,225,6155770,0.003908,,,,
3,226,6153332,0.003907,,,,
3,227,6152204,0.003906,,,,
3,228,6153256,0.003907,,,,
3,229,6151851,0.003906,,,,
3,230,6150703,0.003905,,,,
3,231,6150401,0.003905,,,,
3,232,6151948,0.003906,,,,
3,233,6148764,0.003904,,,,
3,234,6155160,0.003908,,,,
3,235,6152062,0.003906,,,,
3,236,6157348,0.003909,,,,
3,237,6151854,0.003906,,,,
3,238,6150848,0.003905,,,,
3,239,6154765,0.003908,,,,
3,240,6154975,0.003908,,,,
3,241,6149586,0.003904,,,,
3,242,6153214,0.003907,,,,
3,243,6152424,0.003906,,,,
3,244,6150036,0.003905,,,,
3,245,6153337,0.003907,,,,
3,246,6151190,0.003906,,,,
3,247,6152318,0.003906,,,,
3,248,6151845,0.003906,,,,
3,249,6150999,0.003905,,,,
3,250,6150693,0.003905,,,,
3,251,6154275,0.003907,,,,
3,252,6150831,0.003905,,,,
3,253,6151857,0.003906,,,,
3,254,6152946,0.003907,,,,
3,255,6151597,0.003906,,,,
