0,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,
1,12600000000,1,0.81561,0.499996,3.141619,-1.3111810764E-05,1.471797108
2,Value,Occurrences,Fraction,,,,
3,0,6300050687,0.500004,,,,
3,1,6299949313,0.499996,,,,
