0,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,
1,12600000000,1,0.000833,0.5,3.141441,1.390158664E-06,0.156044923
2,Value,Occurrences,Fraction,,,,
3,0,6300001620,0.5,,,,
3,1,6299998380,0.5,,,,
