0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,
3,158,8201205,0.003905,,,,
3,159,8200505,0.003905,,,,
3,160,8202027,0.003906,,,,
3,161,8203857,0.003907,,,,
3,162,8202485,0.003906,,,,
3,163,8205471,0.003907,,,,
3,164,8206599,0.003908,,,,
3,165,8197090,0.003903,,,,
3,166,8205792,0.003908,,,,
3,167,8204371,0.003907,,,,
3,168,8200353,0.003905,,,,
3,169,8201966,0.003906,,,,
3,170,8201401,0.003905,,,,
3,171,8202368,0.003906,,,,
3,172,8198357,0.003904,,,,
3,173,8201817,0.003906,,,,
3,174,8202876,0.003906,,,,
3,175,8200023,0.003905,,,,
3,176,8205575,0.003907,,,,
3,177,8200238,0.003905,,,,
3,178,8204398,0.003907,,,,
3,179,8203383,0.003906,,,,
3,180,8205250,0.003907,,,,
3,181,8204855,0.003907,,,,
3,182,8201188,0.003905,,,,
3,183,8203705,0.003907,,,,
3,184,8198245,0.003904,,,,
3,185,8200463,0.003905,,,,
3,186,8203658,0.003907,,,,
3,187,8202824,0.003906,,,,
3,188,8202774,0.003906,,,,
3,189,8201595,0.003906,,,,
3,190,8205033,0.003907,,,,
3,191,8203188,0.003906,,,,
3,192,8204880,0.003907,,,,
3,193,8205858,0.003908,,,,
3,194,8203334,0.003906,,,,
3,195,8198667,0.003904,,,,
3,196,8203802,0.003907,,,,
3,197,8197556,0.003904,,,,
3,198,8199878,0.003905,,,,
3,199,8200328,0.003905,,,,
3,200,8205820,0.003908,,,,
3,201,8205585,0.003907,,,,
3,202,8201228,0.003905,,,,
3,203,8202507,0.003906,,,,
3,204,8198581,0.003904,,,,
3,205,8197174,0.003903,,,,
3,206,8197728,0.003904,,,,
3,207,8200913,0.003905,,,,
3,208,8199612,0.003905,,,,
3,209,8201768,0.003906,,,,
3,210,8203940,0.003907,,,,
3,211,8203299,0.003906,,,,
3,212,8204779,0.003907,,,,
3,213,8206108,0.003908,,,,
3,214,8199069,0.003904,,,,
3,215,8199256,0.003904,,,,
3,216,8207113,0.003908,,,,
3,217,8204575,0.003907,,,,
3,218,8203647,0.003906,,,,
3,219,8199948,0.003905,,,,
3,220,8199025,0.003904,,,,
3,221,8198225,0.003904,,,,
3,222,8199267,0.003904,,,,
3,223,8201339,0.003905,,,,
3,224,8205469,0.003907,,,,
3,225,8199110,0.003904,,,,
3,226,8202764,0.003906,,,,
3,227,8200577,0.003905,,,,
3,228,8206638,0.003908,,,,
3,229,8200907,0.003905,,,,
3,230,8199589,0.003905,,,,
3,231,8200635,0.003905,,,,
3,232,8206212,0.003908,,,,
3,233,8200275,0.003905,,,,
3,234,8204096,0.003907,,,,
3,235,8204877,0.003907,,,,
3,236,8209302,0.003909,,,,
3,237,8200879,0.003905,,,,
3,238,8201437,0.003905,,,,
3,239,8198578,0.003904,,,,
3,240,8200492,0.003905,,,,
3,241,8204315,0.003907,,,,
3,242,8204942,0.003907,,,,
3,243,8198439,0.003904,,,,
3,244,8202960,0.003906,,,,
3,245,8202816,0.003906,,,,
3,246,8201694,0.003906,,,,
3,247,8199620,0.003905,,,,
3,248,8195102,0.003902,,,,
3,249,8202081,0.003906,,,,
3,250,8199369,0.003904,,,,
3,251,8200930,0.003905,,,,
3,252,8199463,0.003905,,,,
3,253,8201463,0.003905,,,,
3,254,8208362,0.003909,,,,
3,255,8201065,0.003905,,,,
