0,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,
1,16800000000,1,99.395716,0.499962,3.141766,1.3484083668E-05,1.7477369962
2,Value,Occurrences,Fraction,,,,
3,0,8400646113,0.500038,,,,
3,1,8399353887,0.499962,,,,
