0,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,
1,16800000000,1,71.430773,0.499967,3.141801,1.1681700599E-05,1.51412145
2,Value,Occurrences,Fraction,,,,
3,0,8400547731,0.500033,,,,
3,1,8399452269,0.499967,,,,
