0,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,
1,16800000000,1,107.721374,0.49996,3.142037,1.2583588094E-05,1.6310194299
2,Value,Occurrences,Fraction,,,,
3,0,8400672629,0.50004,,,,
3,1,8399327371,0.49996,,,,
